count,timestamp,S,D,F,J,K,L,char,dummy,matched,pre-delta,post-delta,elapsed,dS,dD,dF,dJ,dK,dL,Hamming D.,Pressed Keys
173,1391409527405 ,0,0,0,0,0,1,,0,0,1200 ,2 ,2745 ,0,0,1,0,0,0,1,1
174,1391409527407 ,0,0,1,0,0,1,Ç©,0,0,2 ,229 ,2747 ,0,0,0,0,0,0,0,2
175,1391409527636 ,0,0,1,0,0,0,Ç†,0,0,229 ,72 ,2976 ,0,0,0,0,0,1,1,1
176,1391409527708 ,0,0,0,0,0,0,,0,0,72 ,4760 ,3048 ,0,0,1,0,0,1,2,0
177,1391409532468 ,1,0,0,0,0,0,ÇÌ,0,0,4760 ,8 ,7808 ,1,0,1,0,0,1,3,1
178,1391409532476 ,1,0,0,0,1,0,Ç,0,1,8 ,224 ,7816 ,1,0,1,0,1,1,4,2
179,1391409532700 ,1,0,0,0,0,0,ÇÌ,0,0,224 ,40 ,224 ,0,0,0,0,1,0,1,1
180,1391409532740 ,0,0,0,0,0,0,,0,0,40 ,1160 ,264 ,1,0,0,0,1,0,2,0
181,1391409533900 ,0,0,1,0,0,0,Ç†,0,0,1160 ,24 ,1424 ,1,0,1,0,1,0,3,1
182,1391409533924 ,0,0,1,0,1,0,ÇÁ,0,0,24 ,1 ,1448 ,1,0,1,0,0,0,2,2
183,1391409533925 ,0,0,1,1,1,0,ÇÈ,0,0,1 ,15 ,1449 ,1,0,1,1,0,0,3,3
184,1391409533940 ,0,0,1,1,1,1,Ç∑,0,1,15 ,192 ,1464 ,1,0,1,1,0,1,4,4
185,1391409534132 ,0,0,0,1,1,1,,0,0,192 ,24 ,192 ,0,0,1,0,0,0,1,3
186,1391409534156 ,0,0,0,1,0,1,,0,0,24 ,1 ,216 ,0,0,1,0,1,0,2,2
187,1391409534157 ,0,0,0,1,0,0,,0,0,1 ,9 ,217 ,0,0,1,0,1,1,3,1
188,1391409534166 ,0,0,0,0,0,0,,0,0,9 ,1039 ,226 ,0,0,1,1,1,1,4,0
189,1391409535205 ,0,0,0,0,0,1,,0,0,1039 ,7 ,1265 ,0,0,1,1,1,0,3,1
190,1391409535212 ,0,0,1,0,0,1,Ç©,0,1,7 ,192 ,1272 ,0,0,0,1,1,0,2,2
191,1391409535404 ,0,0,1,0,0,0,Ç†,0,0,192 ,32 ,192 ,0,0,0,0,0,1,1,1
192,1391409535436 ,0,0,0,0,0,0,,0,0,32 ,1616 ,224 ,0,0,1,0,0,1,2,0
193,1391409537052 ,0,0,1,0,0,0,Ç†,0,0,1616 ,8 ,1840 ,0,0,0,0,0,1,1,1
194,1391409537060 ,0,0,1,0,1,0,ÇÁ,0,0,8 ,1 ,1848 ,0,0,0,0,1,1,2,2
195,1391409537061 ,0,1,1,0,1,0,ÇË,0,0,1 ,15 ,1849 ,0,1,0,0,1,1,3,3
196,1391409537076 ,0,1,1,1,1,0,ÇÍ,0,0,15 ,24 ,1864 ,0,1,0,1,1,1,4,4
197,1391409537100 ,0,1,1,1,1,1,Çπ,0,1,24 ,168 ,1888 ,0,1,0,1,1,0,3,5
198,1391409537268 ,0,1,1,1,1,0,ÇÍ,0,0,168 ,8 ,168 ,0,0,0,0,0,1,1,4
199,1391409537276 ,0,1,0,1,1,0,ÇÎ,0,0,8 ,0 ,176 ,0,0,1,0,0,1,2,3
200,1391409537276 ,0,0,0,1,1,0,,0,0,0 ,8 ,176 ,0,1,1,0,0,1,3,2
201,1391409537284 ,0,0,0,1,0,0,,0,0,8 ,8 ,184 ,0,1,1,0,1,1,4,1
202,1391409537292 ,0,0,0,0,0,0,,0,0,8 ,856 ,192 ,0,1,1,1,1,1,5,0
203,1391409538148 ,0,0,0,0,1,0,,0,0,856 ,2 ,1048 ,0,1,1,1,0,1,4,1
204,1391409538150 ,1,0,0,0,1,0,Ç,0,0,2 ,14 ,1050 ,1,1,1,1,0,1,5,2
205,1391409538164 ,1,0,1,0,1,0,ÇΩ,0,0,14 ,8 ,1064 ,1,1,0,1,0,1,4,3
206,1391409538172 ,1,1,1,0,1,0,Çø,0,0,8 ,8 ,1072 ,1,0,0,1,0,1,3,4
207,1391409538180 ,1,1,1,1,1,0,Çƒ,0,1,8 ,192 ,1080 ,1,0,0,0,0,1,2,5
208,1391409538372 ,1,1,1,1,0,0,ÇÀ,0,0,192 ,8 ,192 ,0,0,0,0,1,0,1,4
209,1391409538380 ,1,1,1,0,0,0,Ç…,0,0,8 ,8 ,200 ,0,0,0,1,1,0,2,3
210,1391409538388 ,0,1,1,0,0,0,Ç¢,0,0,8 ,8 ,208 ,1,0,0,1,1,0,3,2
211,1391409538396 ,0,1,0,0,0,0,Ç¡,0,0,8 ,0 ,216 ,1,0,1,1,1,0,4,1
212,1391409538396 ,0,0,0,0,0,0,,0,0,0 ,864 ,216 ,1,1,1,1,1,0,5,0
213,1391409539260 ,0,0,1,0,0,0,Ç†,0,0,864 ,8 ,1080 ,1,1,0,1,1,0,4,1
214,1391409539268 ,1,0,1,0,0,0,Ç»,0,1,8 ,192 ,1088 ,0,1,0,1,1,0,3,2
215,1391409539460 ,1,0,0,0,0,0,ÇÌ,0,0,192 ,40 ,192 ,0,0,1,0,0,0,1,1
216,1391409539500 ,0,0,0,0,0,0,,0,0,40 ,432 ,232 ,1,0,1,0,0,0,2,0
217,1391409539932 ,0,0,1,0,0,0,Ç†,0,0,432 ,8 ,664 ,1,0,0,0,0,0,1,1
218,1391409539940 ,0,1,1,0,0,0,Ç¢,0,1,8 ,176 ,672 ,1,1,0,0,0,0,2,2
219,1391409540116 ,0,0,1,0,0,0,Ç†,0,0,176 ,8 ,176 ,0,1,0,0,0,0,1,1
220,1391409540124 ,0,0,0,0,0,0,,0,0,8 ,1009 ,184 ,0,1,1,0,0,0,2,0
221,1391409541133 ,0,0,0,1,0,0,,0,0,1009 ,7 ,1193 ,0,1,1,1,0,0,3,1
222,1391409541140 ,0,0,0,1,1,0,,0,0,7 ,1 ,1200 ,0,1,1,1,1,0,4,2
223,1391409541141 ,0,0,1,1,1,0,ÇÈ,0,0,1 ,1 ,1201 ,0,1,0,1,1,0,3,3
224,1391409541142 ,0,1,1,1,1,0,ÇÍ,0,0,1 ,0 ,1202 ,0,0,0,1,1,0,2,4
225,1391409541142 ,1,1,1,1,1,0,Çƒ,0,1,0 ,239 ,1202 ,1,0,0,1,1,0,3,5
226,1391409541381 ,1,1,1,1,0,0,ÇÀ,0,0,239 ,8 ,239 ,0,0,0,0,1,0,1,4
227,1391409541389 ,1,1,0,1,0,0,ÇÃ,0,0,8 ,8 ,247 ,0,0,1,0,1,0,2,3
228,1391409541397 ,1,1,0,0,0,0,,0,0,8 ,0 ,255 ,0,0,1,1,1,0,3,2
229,1391409541397 ,1,0,0,0,0,0,ÇÌ,0,0,0 ,8 ,255 ,0,1,1,1,1,0,4,1
230,1391409541405 ,0,0,0,0,0,0,,0,0,8 ,664 ,263 ,1,1,1,1,1,0,5,0
231,1391409542069 ,0,0,1,0,0,0,Ç†,0,0,664 ,8 ,927 ,1,1,0,1,1,0,4,1
232,1391409542077 ,0,1,1,0,0,0,Ç¢,0,1,8 ,160 ,935 ,1,0,0,1,1,0,3,2
233,1391409542237 ,0,1,0,0,0,0,Ç¡,0,0,160 ,24 ,160 ,0,0,1,0,0,0,1,1
